2.117 ,95.003 ,87.559 ,34.944 ,53.011 ,404.072 
2.116 ,94.904 ,87.508 ,38.163 ,51.688 ,419.581 
2.390 ,95.676 ,88.390 ,32.159 ,49.716 ,430.364 
2.409 ,95.510 ,88.186 ,31.838 ,51.961 ,396.660 
2.392 ,95.698 ,88.183 ,31.859 ,51.938 ,400.241 
2.609 ,96.473 ,88.339 ,30.071 ,50.074 ,409.583 
2.624 ,96.068 ,88.240 ,29.952 ,49.802 ,411.252 
2.619 ,96.360 ,88.661 ,29.989 ,50.797 ,404.103 
2.778 ,96.567 ,87.298 ,28.026 ,47.684 ,442.909 
2.777 ,96.134 ,87.366 ,24.932 ,44.200 ,489.141 
2.769 ,96.397 ,87.411 ,28.009 ,47.390 ,443.419 
2.862 ,96.560 ,86.786 ,27.827 ,49.166 ,420.955 
2.841 ,96.134 ,86.177 ,28.225 ,49.059 ,421.696 
2.862 ,96.585 ,86.162 ,27.658 ,49.191 ,422.778 
1.891 ,94.155 ,87.621 ,40.256 ,53.212 ,415.756 
1.874 ,94.175 ,87.159 ,32.607 ,52.196 ,436.937 
1.875 ,94.774 ,87.678 ,32.763 ,52.126 ,436.030 
2.167 ,95.291 ,88.342 ,31.140 ,52.760 ,406.267 
2.153 ,94.727 ,87.707 ,33.674 ,52.549 ,397.480 
2.159 ,95.227 ,87.766 ,32.022 ,52.947 ,398.707 
2.379 ,95.161 ,87.918 ,32.208 ,49.242 ,429.288 
2.372 ,95.978 ,88.595 ,30.403 ,52.756 ,389.643 
2.373 ,95.265 ,88.441 ,32.833 ,51.111 ,412.730 
2.510 ,96.351 ,87.511 ,30.491 ,48.676 ,441.982 
2.521 ,95.891 ,87.817 ,30.439 ,51.763 ,398.284 
2.515 ,96.372 ,87.223 ,30.809 ,49.623 ,432.978 
2.608 ,96.020 ,85.957 ,29.494 ,49.444 ,438.235 
2.616 ,96.190 ,86.702 ,28.955 ,51.014 ,418.585 
2.606 ,95.715 ,86.010 ,28.316 ,48.063 ,460.702 
1.700 ,93.739 ,86.190 ,37.486 ,51.804 ,450.720 
1.704 ,94.030 ,86.237 ,22.862 ,48.379 ,520.039 
1.698 ,93.902 ,86.109 ,39.974 ,52.581 ,439.891 
1.983 ,94.950 ,86.794 ,28.403 ,52.127 ,439.270 
1.985 ,94.717 ,87.084 ,39.101 ,53.119 ,411.367 
1.980 ,94.631 ,86.865 ,32.512 ,52.366 ,424.996 
2.182 ,95.460 ,86.599 ,29.628 ,72.801 ,412.281 
2.183 ,94.655 ,86.938 ,33.232 ,73.042 ,407.455 
2.183 ,95.441 ,86.720 ,31.522 ,72.942 ,408.609 
2.335 ,95.559 ,86.233 ,32.557 ,80.783 ,235.229 
2.329 ,95.013 ,86.630 ,28.863 ,80.012 ,206.125 
2.328 ,95.307 ,85.897 ,30.559 ,81.994 ,206.336 
2.422 ,96.047 ,85.251 ,28.297 ,83.096 ,209.182 
2.402 ,95.589 ,85.145 ,27.499 ,83.201 ,208.567 
2.403 ,95.913 ,85.120 ,29.159 ,82.628 ,210.166 
